analysis_sample,matrix_name,left_id,right_id,matching_similarity_pct,n_left,n_right,n_common,overlap_left_pct,overlap_right_pct,jaccard_pct,common_determinants
DIEGO,matrix_32_z_abs,KM4,EFA1,35.714285714285715,14,8,5,35.714285714285715,62.5,29.41176470588235,det_01_profits; det_05_frugality; det_07_legal; det_20_coziness; det_27_fun
DIEGO,matrix_32_z_abs,KM5,EFA5,33.333333333333336,9,8,3,33.333333333333336,37.5,21.428571428571427,det_02_credit_score; det_06_climate_protection; det_25_agreement
DIEGO,matrix_32_z_abs,KM6,EFA3,41.666666666666664,12,8,5,41.666666666666664,62.5,33.333333333333336,det_05_frugality; det_06_climate_protection; det_08_trust; det_15_self_satisfaction; det_19_wellbeing
RENOVISOR,matrix_32_raw_0_1,KM1,EFA5,20,15,8,3,20,37.5,15,det_15_self_satisfaction; det_19_wellbeing; det_20_coziness
RENOVISOR,matrix_32_raw_0_1,KM2,EFA1,37.5,8,8,3,37.5,37.5,23.076923076923077,det_10_cost_efficiency; det_11_knowledge; det_17_adherence
RENOVISOR,matrix_32_raw_0_1,KM3,EFA2,87.5,8,8,7,87.5,87.5,77.77777777777777,det_22_peer_pressure; det_24_socialising; det_27_fun; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
RENOVISOR,matrix_32_raw_0_1,KM4,EFA6,23.076923076923077,13,8,3,23.076923076923077,37.5,16.666666666666668,det_06_climate_protection; det_08_trust; det_14_environmental_concerns
RENOVISOR,matrix_32_raw_0_1,KM5,EFA4,33.333333333333336,15,8,5,33.333333333333336,62.5,27.77777777777778,det_03_risk_profile; det_07_legal; det_08_trust; det_09_safety; det_30_authority
RENOVISOR,matrix_32_raw_0_1,KM6,EFA3,35.714285714285715,14,8,5,35.714285714285715,62.5,29.41176470588235,det_11_knowledge; det_13_technical_fit; det_15_self_satisfaction; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_pos_0_1,KM1,EFA3,44.44444444444444,9,8,4,44.44444444444444,50,30.76923076923077,det_07_legal; det_08_trust; det_09_safety; det_13_technical_fit
RENOVISOR,matrix_32_pos_0_1,KM2,EFA6,50,8,8,4,50,50,33.333333333333336,det_11_knowledge; det_13_technical_fit; det_16_commitment; det_17_adherence
RENOVISOR,matrix_32_pos_0_1,KM3,EFA4,40,15,8,6,40,75,35.294117647058826,det_04_added_value; det_06_climate_protection; det_08_trust; det_14_environmental_concerns; det_21_rights_and_duties; det_32_own_significance
RENOVISOR,matrix_32_pos_0_1,KM4,EFA5,75,8,8,6,75,75,60,det_01_profits; det_02_credit_score; det_03_risk_profile; det_10_cost_efficiency; det_11_knowledge; det_15_self_satisfaction
RENOVISOR,matrix_32_pos_0_1,KM5,EFA1,46.666666666666664,15,8,7,46.666666666666664,87.5,43.75,det_09_safety; det_13_technical_fit; det_15_self_satisfaction; det_17_adherence; det_18_autonomy; det_19_wellbeing; det_20_coziness
RENOVISOR,matrix_32_pos_0_1,KM6,EFA2,0,12,8,0,0,0,0,NA
RENOVISOR,matrix_32_ext_0_1,KM1,EFA3,75,8,8,6,75,75,60,det_22_peer_pressure; det_24_socialising; det_28_recognition; det_29_trends; det_30_authority; det_31_approval
RENOVISOR,matrix_32_ext_0_1,KM2,EFA6,61.53846153846154,13,8,8,61.53846153846154,100,61.53846153846154,det_03_risk_profile; det_08_trust; det_09_safety; det_10_cost_efficiency; det_15_self_satisfaction; det_17_adherence; det_19_wellbeing; det_20_coziness
RENOVISOR,matrix_32_ext_0_1,KM3,EFA1,20,15,8,3,20,37.5,15,det_02_credit_score; det_10_cost_efficiency; det_27_fun
RENOVISOR,matrix_32_ext_0_1,KM4,EFA4,25,8,8,2,25,25,14.285714285714286,det_11_knowledge; det_17_adherence
