analysis_sample,matrix,matrix_name,d_hamming,prototype,KMEANS,EFA,delta_KMEANS_minus_EFA
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,7,18.841666666667077,9.916666666665968,8.92500000000111
WHY_EUROPE,EXT,matrix_32_ext_0_1,3,8,19.99077380952425,10.362886904761176,9.627886904763074
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,1,6.47738095238105,6.711041666666153,-0.2336607142851035
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,2,14.873660714286077,9.48857142857073,5.385089285715347
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,3,24.21806547619114,11.888928571427709,12.32913690476343
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,4,27.190000000000744,13.398779761903794,13.79122023809695
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,5,29.991934523810343,15.043273809522733,14.94866071428761
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,6,32.7786607142866,15.700089285713164,17.07857142857344
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,7,35.62303571428668,16.357529761903592,19.265505952383087
WHY_EUROPE,EXT,matrix_32_ext_0_1,4,8,36.69794642857242,16.603124999998812,20.09482142857361
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,1,10.282797619048036,9.479791666666085,0.8030059523819517
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,2,23.147976190477124,14.58839285714186,8.559583333335263
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,3,39.77145833333414,17.643660714284508,22.12779761904963
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,4,43.43187500000089,20.607619047617646,22.824255952383247
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,5,45.18428571428666,21.522797619046155,23.661488095240504
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,6,46.00139880952478,22.399494047617523,23.601904761907257
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,7,49.4709821428582,22.81083333333178,26.66014880952642
WHY_EUROPE,EXT,matrix_32_ext_0_1,5,8,52.07907738095351,23.463541666665066,28.61553571428844
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,1,16.44464285714282,12.360744047618338,4.083898809524483
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,2,34.1413690476192,20.39818452380833,13.743184523810871
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,3,56.36565476190513,24.759732142855636,31.60592261904949
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,4,58.50059523809566,30.194345238093273,28.30625000000239
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,5,60.0495833333338,31.227648809521774,28.821934523812025
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,6,64.09375000000057,31.91976190475982,32.173988095240745
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,7,64.96190476190534,32.10895833333123,32.852946428574114
WHY_EUROPE,EXT,matrix_32_ext_0_1,6,8,67.28068452381015,32.728988095235955,34.551696428574196
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,1,23.25669642857153,15.16583333333204,8.09086309523949
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,2,45.82023809523843,25.95785714285523,19.8623809523832
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,3,66.07339285714308,28.764077380950265,37.30931547619281
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,4,68.20098214285741,36.928244047616374,31.27273809524104
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,5,74.43437500000036,38.51107142856864,35.92330357143172
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,6,75.8185714285718,39.27437499999717,36.54419642857463
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,7,78.22836309523854,40.49690476190183,37.731458333336704
WHY_EUROPE,EXT,matrix_32_ext_0_1,7,8,78.80029761904807,42.266964285711246,36.53333333333682
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,1,30.96261904761914,16.78937499999824,14.173244047620898
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,2,59.00848214285731,30.80678571428315,28.20169642857416
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,3,79.87601190476173,42.53056547618743,37.3454464285743
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,4,82.25916666666653,45.58732142856815,36.67184523809838
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,5,84.19050595238087,49.97327380952024,34.21723214286064
WHY_EUROPE,EXT,matrix_32_ext_0_1,8,6,85.01080357142851,51.75559523809156,33.25520833333695
