bootstrap_id,comparison_region,n_draws,prop_complete
56,EUROPE,1000,0.6218905472636815
56,LATAM,608,0.3781094527363184
57,EUROPE,1000,0.6218905472636815
57,LATAM,608,0.3781094527363184
58,EUROPE,1000,0.6218905472636815
58,LATAM,608,0.3781094527363184
59,EUROPE,1000,0.6218905472636815
59,LATAM,608,0.3781094527363184
60,EUROPE,1000,0.6218905472636815
60,LATAM,608,0.3781094527363184
61,EUROPE,1000,0.6218905472636815
61,LATAM,608,0.3781094527363184
62,EUROPE,1000,0.6218905472636815
62,LATAM,608,0.3781094527363184
63,EUROPE,1000,0.6218905472636815
63,LATAM,608,0.3781094527363184
64,EUROPE,1000,0.6218905472636815
64,LATAM,608,0.3781094527363184
65,EUROPE,1000,0.6218905472636815
65,LATAM,608,0.3781094527363184
66,EUROPE,1000,0.6218905472636815
66,LATAM,608,0.3781094527363184
67,EUROPE,1000,0.6218905472636815
67,LATAM,608,0.3781094527363184
68,EUROPE,1000,0.6218905472636815
68,LATAM,608,0.3781094527363184
69,EUROPE,1000,0.6218905472636815
69,LATAM,608,0.3781094527363184
70,EUROPE,1000,0.6218905472636815
70,LATAM,608,0.3781094527363184
71,EUROPE,1000,0.6218905472636815
71,LATAM,608,0.3781094527363184
72,EUROPE,1000,0.6218905472636815
72,LATAM,608,0.3781094527363184
73,EUROPE,1000,0.6218905472636815
73,LATAM,608,0.3781094527363184
74,EUROPE,1000,0.6218905472636815
74,LATAM,608,0.3781094527363184
75,EUROPE,1000,0.6218905472636815
75,LATAM,608,0.3781094527363184
76,EUROPE,1000,0.6218905472636815
76,LATAM,608,0.3781094527363184
77,EUROPE,1000,0.6218905472636815
77,LATAM,608,0.3781094527363184
78,EUROPE,1000,0.6218905472636815
78,LATAM,608,0.3781094527363184
79,EUROPE,1000,0.6218905472636815
79,LATAM,608,0.3781094527363184
80,EUROPE,1000,0.6218905472636815
80,LATAM,608,0.3781094527363184
81,EUROPE,1000,0.6218905472636815
81,LATAM,608,0.3781094527363184
82,EUROPE,1000,0.6218905472636815
82,LATAM,608,0.3781094527363184
83,EUROPE,1000,0.6218905472636815
83,LATAM,608,0.3781094527363184
84,EUROPE,1000,0.6218905472636815
84,LATAM,608,0.3781094527363184
85,EUROPE,1000,0.6218905472636815
85,LATAM,608,0.3781094527363184
86,EUROPE,1000,0.6218905472636815
86,LATAM,608,0.3781094527363184
87,EUROPE,1000,0.6218905472636815
87,LATAM,608,0.3781094527363184
88,EUROPE,1000,0.6218905472636815
88,LATAM,608,0.3781094527363184
89,EUROPE,1000,0.6218905472636815
89,LATAM,608,0.3781094527363184
90,EUROPE,1000,0.6218905472636815
90,LATAM,608,0.3781094527363184
91,EUROPE,1000,0.6218905472636815
91,LATAM,608,0.3781094527363184
92,EUROPE,1000,0.6218905472636815
92,LATAM,608,0.3781094527363184
93,EUROPE,1000,0.6218905472636815
93,LATAM,608,0.3781094527363184
94,EUROPE,1000,0.6218905472636815
94,LATAM,608,0.3781094527363184
95,EUROPE,1000,0.6218905472636815
95,LATAM,608,0.3781094527363184
96,EUROPE,1000,0.6218905472636815
96,LATAM,608,0.3781094527363184
97,EUROPE,1000,0.6218905472636815
97,LATAM,608,0.3781094527363184
98,EUROPE,1000,0.6218905472636815
98,LATAM,608,0.3781094527363184
99,EUROPE,1000,0.6218905472636815
99,LATAM,608,0.3781094527363184
100,EUROPE,1000,0.6218905472636815
100,LATAM,608,0.3781094527363184
101,EUROPE,1000,0.6218905472636815
101,LATAM,608,0.3781094527363184
102,EUROPE,1000,0.6218905472636815
102,LATAM,608,0.3781094527363184
103,EUROPE,1000,0.6218905472636815
103,LATAM,608,0.3781094527363184
104,EUROPE,1000,0.6218905472636815
104,LATAM,608,0.3781094527363184
105,EUROPE,1000,0.6218905472636815
105,LATAM,608,0.3781094527363184
106,EUROPE,1000,0.6218905472636815
106,LATAM,608,0.3781094527363184
107,EUROPE,1000,0.6218905472636815
107,LATAM,608,0.3781094527363184
108,EUROPE,1000,0.6218905472636815
108,LATAM,608,0.3781094527363184
109,EUROPE,1000,0.6218905472636815
109,LATAM,608,0.3781094527363184
110,EUROPE,1000,0.6218905472636815
110,LATAM,608,0.3781094527363184
111,EUROPE,1000,0.6218905472636815
111,LATAM,608,0.3781094527363184
112,EUROPE,1000,0.6218905472636815
112,LATAM,608,0.3781094527363184
113,EUROPE,1000,0.6218905472636815
113,LATAM,608,0.3781094527363184
114,EUROPE,1000,0.6218905472636815
114,LATAM,608,0.3781094527363184
115,EUROPE,1000,0.6218905472636815
115,LATAM,608,0.3781094527363184
116,EUROPE,1000,0.6218905472636815
116,LATAM,608,0.3781094527363184
117,EUROPE,1000,0.6218905472636815
117,LATAM,608,0.3781094527363184
118,EUROPE,1000,0.6218905472636815
118,LATAM,608,0.3781094527363184
119,EUROPE,1000,0.6218905472636815
119,LATAM,608,0.3781094527363184
120,EUROPE,1000,0.6218905472636815
120,LATAM,608,0.3781094527363184
121,EUROPE,1000,0.6218905472636815
121,LATAM,608,0.3781094527363184
122,EUROPE,1000,0.6218905472636815
122,LATAM,608,0.3781094527363184
123,EUROPE,1000,0.6218905472636815
123,LATAM,608,0.3781094527363184
124,EUROPE,1000,0.6218905472636815
124,LATAM,608,0.3781094527363184
125,EUROPE,1000,0.6218905472636815
125,LATAM,608,0.3781094527363184
126,EUROPE,1000,0.6218905472636815
126,LATAM,608,0.3781094527363184
127,EUROPE,1000,0.6218905472636815
127,LATAM,608,0.3781094527363184
128,EUROPE,1000,0.6218905472636815
128,LATAM,608,0.3781094527363184
129,EUROPE,1000,0.6218905472636815
129,LATAM,608,0.3781094527363184
130,EUROPE,1000,0.6218905472636815
130,LATAM,608,0.3781094527363184
131,EUROPE,1000,0.6218905472636815
131,LATAM,608,0.3781094527363184
132,EUROPE,1000,0.6218905472636815
132,LATAM,608,0.3781094527363184
133,EUROPE,1000,0.6218905472636815
