analysis_sample,matrix_name,bootstrap_id,n_factors,status,n_bootstrap_draws,n_rows_used,n_rows_dropped,n_unique_participants,n_variable_features,n_constant_features,RMSR,TLI,RMSEA,BIC,mean_abs_factor_correlation,var_abs_factor_correlation,mean_factor_distance,var_factor_distance,warning_flag,warning_message,error_message
COMPLETE,matrix_32_raw_0_1,7,7,ok,1608,1608,0,1033,32,0,0.016154721381406823,0.894342998126965,0.03935126251216368,-1140.3855986346161,0.1569302896584055,0.010141560521902612,0.8430697103415945,0.010141560521902612,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,7,8,ok,1608,1608,0,1033,32,0,0.014241518332776563,0.912179480492171,0.03586754063253995,-1156.008238044221,0.15401605956282696,0.01353381376225036,0.8459839404371731,0.01353381376225036,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,2,ok,1608,1608,0,1014,32,0,0.049578732604320164,0.6101865857131072,0.07681133394878746,1344.4846204286491,0.09247256420969706,NA,0.9075274357903029,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,3,ok,1608,1608,0,1014,32,0,0.03239134424228694,0.7538752862817968,0.06101992136073532,-159.123518798624,0.10494754491946381,5.813856028339047e-4,0.8950524550805362,5.813856028339043e-4,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,4,ok,1608,1608,0,1014,32,0,0.027082457954179857,0.7958256896923015,0.05556423371928332,-530.1863604935011,0.0897573066256104,0.003074823396101445,0.9102426933743896,0.0030748233961014463,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,5,ok,1608,1608,0,1014,32,0,0.021468541621267503,0.8491765029758915,0.047744681066268745,-939.9437465139144,0.13406751135725717,0.014689089299653266,0.8659324886427429,0.01468908929965326,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,6,ok,1608,1608,0,1014,32,0,0.018528570513897738,0.8796573339134555,0.04263794510385323,-1103.3537666077768,0.17308224644292328,0.012762966180352428,0.8269177535570768,0.01276296618035243,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,7,ok,1608,1608,0,1014,32,0,0.016230527656146194,0.896833325462884,0.03946878185478979,-1136.0214483942357,0.16693482619408573,0.013439911536815046,0.8330651738059143,0.013439911536815053,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,8,8,ok,1608,1608,0,1014,32,0,0.014368458903156913,0.9113569576577333,0.03657654673377756,-1133.873532114313,0.1722670480422511,0.011851444413110172,0.8277329519577489,0.011851444413110175,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,2,ok,1608,1608,0,1029,32,0,0.04759717925831867,0.6463280678038352,0.07320151590012343,967.4443707184969,0.03985045098021867,NA,0.9601495490197813,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,3,ok,1608,1608,0,1029,32,0,0.030288369863194716,0.7878863242079187,0.05667598515747173,-490.43454314948485,0.10469072763470572,0.0040475110303189975,0.8953092723652942,0.004047511030319,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,4,ok,1608,1608,0,1029,32,0,0.023830629725694018,0.8419052565454528,0.04891813661842731,-947.7929524189144,0.16171581838320503,0.012870867944846312,0.838284181616795,0.01287086794484631,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,5,ok,1608,1608,0,1029,32,0,0.019340882609989,0.8824325109855421,0.0421743158809072,-1218.6182684151822,0.13183416300562478,0.015166751968658514,0.8681658369943752,0.015166751968658512,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,6,ok,1608,1608,0,1029,32,0,0.016589490625222646,0.9055900218364468,0.037783925716327875,-1303.5944901133682,0.16614951898876834,0.01900300687074328,0.8338504810112316,0.019003006870743282,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,7,ok,1608,1608,0,1029,32,0,0.015106784765361512,0.9145088158802496,0.035946607146832815,-1261.1696273334317,0.16345723123961292,0.015092869799302236,0.836542768760387,0.015092869799302236,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,9,8,ok,1608,1608,0,1029,32,0,0.013776120652931528,0.9241206636731286,0.033857584247695534,-1216.402652187356,0.1609530768977055,0.014705818074161759,0.8390469231022946,0.014705818074161756,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,2,ok,1608,1608,0,1003,32,0,0.044979138136561146,0.6553145593621573,0.07185539254433024,831.4887341986505,0.021308429878453845,NA,0.9786915701215462,NA,FALSE,NA,NA
COMPLETE,matrix_32_raw_0_1,10,3,ok,1608,1608,0,1003,32,0,0.03071409248870368,0.7702326937917806,0.05865286926901282,-342.69039795993285,0.08059402596078918,0.003866820667462501,0.9194059740392108,0.0038668206674625023,FALSE,NA,NA
