bootstrap_id,target_sample_type,dataset_source,n,prop_within_type
151,voter,rv,494,1
152,abstention,diego,221,0.4367588932806324
152,abstention,rv,139,0.274703557312253
152,abstention,why,146,0.2885375494071146
152,voter,rv,494,1
153,abstention,diego,210,0.4150197628458498
153,abstention,rv,142,0.28063241106719367
153,abstention,why,154,0.30434782608695654
153,voter,rv,494,1
154,abstention,diego,231,0.45652173913043476
154,abstention,rv,133,0.2628458498023715
154,abstention,why,142,0.28063241106719367
154,voter,rv,494,1
155,abstention,diego,233,0.46047430830039526
155,abstention,rv,134,0.2648221343873518
155,abstention,why,139,0.274703557312253
155,voter,rv,494,1
156,abstention,diego,231,0.45652173913043476
156,abstention,rv,137,0.2707509881422925
156,abstention,why,138,0.2727272727272727
156,voter,rv,494,1
157,abstention,diego,231,0.45652173913043476
157,abstention,rv,141,0.27865612648221344
157,abstention,why,134,0.2648221343873518
157,voter,rv,494,1
158,abstention,diego,230,0.45454545454545453
158,abstention,rv,151,0.2984189723320158
158,abstention,why,125,0.24703557312252963
158,voter,rv,494,1
159,abstention,diego,244,0.48221343873517786
159,abstention,rv,132,0.2608695652173913
159,abstention,why,130,0.25691699604743085
159,voter,rv,494,1
160,abstention,diego,247,0.4881422924901186
160,abstention,rv,134,0.2648221343873518
160,abstention,why,125,0.24703557312252963
160,voter,rv,494,1
161,abstention,diego,219,0.43280632411067194
161,abstention,rv,140,0.2766798418972332
161,abstention,why,147,0.29051383399209485
161,voter,rv,494,1
162,abstention,diego,227,0.44861660079051385
162,abstention,rv,129,0.2549407114624506
162,abstention,why,150,0.2964426877470356
162,voter,rv,494,1
163,abstention,diego,245,0.4841897233201581
163,abstention,rv,144,0.2845849802371542
163,abstention,why,117,0.23122529644268774
163,voter,rv,494,1
164,abstention,diego,210,0.4150197628458498
164,abstention,rv,122,0.24110671936758893
164,abstention,why,174,0.3438735177865613
164,voter,rv,494,1
165,abstention,diego,237,0.4683794466403162
165,abstention,rv,131,0.25889328063241107
165,abstention,why,138,0.2727272727272727
165,voter,rv,494,1
166,abstention,diego,241,0.4762845849802372
166,abstention,rv,146,0.2885375494071146
166,abstention,why,119,0.23517786561264822
166,voter,rv,494,1
167,abstention,diego,237,0.4683794466403162
167,abstention,rv,128,0.25296442687747034
167,abstention,why,141,0.27865612648221344
167,voter,rv,494,1
168,abstention,diego,244,0.48221343873517786
168,abstention,rv,134,0.2648221343873518
168,abstention,why,128,0.25296442687747034
168,voter,rv,494,1
169,abstention,diego,217,0.4288537549407115
169,abstention,rv,143,0.2826086956521739
169,abstention,why,146,0.2885375494071146
169,voter,rv,494,1
170,abstention,diego,242,0.4782608695652174
170,abstention,rv,149,0.29446640316205536
170,abstention,why,115,0.22727272727272727
170,voter,rv,494,1
171,abstention,diego,235,0.4644268774703557
171,abstention,rv,129,0.2549407114624506
171,abstention,why,142,0.28063241106719367
171,voter,rv,494,1
172,abstention,diego,243,0.48023715415019763
172,abstention,rv,142,0.28063241106719367
172,abstention,why,121,0.2391304347826087
172,voter,rv,494,1
173,abstention,diego,241,0.4762845849802372
173,abstention,rv,166,0.32806324110671936
173,abstention,why,99,0.1956521739130435
173,voter,rv,494,1
174,abstention,diego,228,0.4505928853754941
174,abstention,rv,124,0.2450592885375494
174,abstention,why,154,0.30434782608695654
174,voter,rv,494,1
175,abstention,diego,214,0.42292490118577075
175,abstention,rv,151,0.2984189723320158
175,abstention,why,141,0.27865612648221344
175,voter,rv,494,1
176,abstention,diego,218,0.4308300395256917
176,abstention,rv,152,0.30039525691699603
176,abstention,why,136,0.26877470355731226
176,voter,rv,494,1
177,abstention,diego,229,0.4525691699604743
177,abstention,rv,143,0.2826086956521739
177,abstention,why,134,0.2648221343873518
177,voter,rv,494,1
178,abstention,diego,241,0.4762845849802372
178,abstention,rv,134,0.2648221343873518
178,abstention,why,131,0.25889328063241107
178,voter,rv,494,1
179,abstention,diego,225,0.44466403162055335
179,abstention,rv,134,0.2648221343873518
179,abstention,why,147,0.29051383399209485
179,voter,rv,494,1
180,abstention,diego,229,0.4525691699604743
180,abstention,rv,140,0.2766798418972332
180,abstention,why,137,0.2707509881422925
180,voter,rv,494,1
181,abstention,diego,242,0.4782608695652174
181,abstention,rv,151,0.2984189723320158
181,abstention,why,113,0.22332015810276679
181,voter,rv,494,1
182,abstention,diego,250,0.49407114624505927
182,abstention,rv,132,0.2608695652173913
182,abstention,why,124,0.2450592885375494
182,voter,rv,494,1
183,abstention,diego,256,0.5059288537549407
183,abstention,rv,136,0.26877470355731226
183,abstention,why,114,0.22529644268774704
183,voter,rv,494,1
184,abstention,diego,231,0.45652173913043476
184,abstention,rv,141,0.27865612648221344
184,abstention,why,134,0.2648221343873518
184,voter,rv,494,1
185,abstention,diego,252,0.4980237154150198
185,abstention,rv,124,0.2450592885375494
185,abstention,why,130,0.25691699604743085
185,voter,rv,494,1
186,abstention,diego,228,0.4505928853754941
186,abstention,rv,147,0.29051383399209485
186,abstention,why,131,0.25889328063241107
186,voter,rv,494,1
187,abstention,diego,241,0.4762845849802372
187,abstention,rv,133,0.2628458498023715
187,abstention,why,132,0.2608695652173913
187,voter,rv,494,1
188,abstention,diego,230,0.45454545454545453
188,abstention,rv,140,0.2766798418972332
188,abstention,why,136,0.26877470355731226
188,voter,rv,494,1
189,abstention,diego,224,0.4426877470355731
189,abstention,rv,153,0.30237154150197626
189,abstention,why,129,0.2549407114624506
189,voter,rv,494,1
190,abstention,diego,241,0.4762845849802372
190,abstention,rv,125,0.24703557312252963
190,abstention,why,140,0.2766798418972332
190,voter,rv,494,1
191,abstention,diego,239,0.4723320158102767
191,abstention,rv,134,0.2648221343873518
191,abstention,why,133,0.2628458498023715
191,voter,rv,494,1
192,abstention,diego,236,0.466403162055336
192,abstention,rv,139,0.274703557312253
192,abstention,why,131,0.25889328063241107
192,voter,rv,494,1
193,abstention,diego,257,0.5079051383399209
193,abstention,rv,106,0.20948616600790515
193,abstention,why,143,0.2826086956521739
193,voter,rv,494,1
194,abstention,diego,225,0.44466403162055335
194,abstention,rv,131,0.25889328063241107
194,abstention,why,150,0.2964426877470356
194,voter,rv,494,1
195,abstention,diego,234,0.4624505928853755
195,abstention,rv,153,0.30237154150197626
